stressed	{(stress)}
idealization	{(ideal)}>ize>>ion>
wolves	{(wolf)}
equine	{(equine)}
laxative	{(lax)}>ive>
referee	{(refer)}>ee>
zooms	{(zoom)}
awhile	{(awhile)}
hippopotami	{(hippopotami)}
whining	{(whine)}
reps	{(rep)}
faker	{(fake)}>er>
crab	{(crab)}
announcer	{(announce)}>er>
scrotum	{(scrotum)}
hiss	{(hiss)}
nurseryman	{(nurse)}>ory>{(man)}
ethiopians	{(ethiopia)}>n>
passwords	{(pass)}{(word)}
haunts	{(haunt)}
wizards	{(wizard)}
bellini	{(bellini)}
hasn't	{(has)}
palatalized	{(palat)}>al>>ize>
baffles	{(baffle)}
zanier	{(zany)}>er>
storey	{(storey)}
arouses	{(arouse)}
weaned	{(wean)}
pasterns	{(pastern)}
forgave	{(forgave)}
trainable	{(train)}>able>
league's	{(league)}
decorating	{(decor)}>ate>
emergency	{(emergency)}
cockfights	{(cock)}{(fight)}
grimes	{(grimes)}
slots	{(slot)}
readjustments	<re<{<a<(just)}>ment>
sycamore	{(sycamore)}
ornately	{(ornate)}>ly>
incoherently	<im<{<co<(_here)}>ant>>ly>
pleurisy	{(pleurisy)}
quadruply	{(quadruple)}>y>
cherokees	{(cherokee)}
imitative	{(imit)>ate>}>ive>
exclaims	{<ex<(claim)}
offhandedly	<off<{(hand)}>ly>
hauntingly	{(haunt)}>ly>
fogginess	{(fog)}>y>>ness>
heedfully	{(heed)}>ful>>ly>
perpendicularly	{<per<(pend)>ar>}>ly>
trinity	{(trinity)}
bosoms	{(bosom)}
client	{(client)}
wineglass	{(wine)}{(glass)}
shipbroker	{(ship)}{(broke)}>er>
environed	{(environ)}
ripe	{(ripe)}
burrows	{(burrow)}
incarnations	{<in<(carn)>ate>}>ion>
planetary	{(planet)}>ory>
patrimony	{(pater)(mony)}
scoreboards	{(score)}{(board)}
crispest	{(crisp)}>est>
bumper	{(bumper)}
atrophic	{(atrophic)}
chauvinists	{(chauvin)>ist>}
bowline	{(bowline)}
feasibly	{(fact)>able>}>y>
deletes	{(delete)}
patchily	{(patch)}>y>>ly>
glowingly	{(glow)}>ly>
kowtowing	{(kowtow)}
contraction	{(contract)}>ion>
constructional	{<co<(struct)}>ion>>al>
befoul	<be<{(foul)}
weal	{(weal)}
grampus	{(grampus)}
tortures	{(torture)}
flounces	{(flounce)}
artistic	{(art)}>ist>>ic>
canvassers	{(canvas)}>er>
bombastic	{(bombast)}>ic>
semiquantitative	<semi<{(quant)>ive>}
into	<in<{(to)}
brayed	{(bray)}
oven	{(oven)}
playgrounds	{(play)}{(ground)}
boasted	{(boast)}
thatching	{(thatch)}
unblushingly	<un<{(blush)}>ly>
angled	{(angle)}
infidelities	<im<{(fidel)>ity>}
transfigure	<trans<{(figure)}
reedy	{(reed)}>y>
undulations	{(undulate)}>ion>
wingspans	{(wing)}{(spain)}
longbow	{(long)}{(bow)}
forgiving	{(forgive)}
flattened	{(flat)}>en>
corker	{(cork)}>er>
anagrams	{<ana<(gram)}
unalloyed	<un<{(alloy)}
waddles	{(waddle)}
rival's	{(rival)}
pirouetting	{(pirouette)}
supernaturally	<super<{(nature)>al>}>ly>
lichen	{(lichen)}
fascinates	{(fascinate)}
dramatizations	{(drama)}>ize>>ion>
webs	{(web)}
i'd	{(i)}
assumes	{(assume)}
clouding	{(cloud)}
telegraphically	{(tele)(graph)>ic>}>al>>ly>
geezers	{(geezer)}
edgeways	{(edge)}(ways)
alleviation	{(alleviate)}>ion>
spas	{(spa)}
blearily	{(bleary)}>ly>
satirizing	{(satire)}>ize>
seductively	{<se<(duct)>ive>}>ly>
barmy	{(barmy)}
garrison	{(garrison)}
ramble	{(ramble)}
overplayed	<over<{(play)}
iron	{(iron)}
cardiovascular	(cardio){(vascular)}
amplifying	{(ample)>ify>}
speedometers	{(speed)}(meter)
benzell	{(ben)}{(zell)}
euclid's	{(euclid)}
breathing	{(breath)}
sleighed	{(sleigh)}
incandescent	{(incandesce)}>ant>
spirituality	{(spirit)}>al>>ity>
tit	{(tit)}
garrick	{(garrick)}
albino	{(albino)}
restaurants	{(restaurant)}
squawking	{(squawk)}
cobweb	{(cob)(web)}
brasher	{(brash)}>er>
ribald	{(ribald)}
dentures	{(dent)>ure>}
appalling	{(appall)}
reader	{(read)}>er>
cerebella	{(cerebella)}
map	{(map)}
northwestward	{(north)}{(west)}>ward>
illumine	{<in<(lumin)}
rune	{(rune)}
fuchs	{(fuchs)}
ranges	{(range)}
unrolling	<un<{(roll)}
todman	{(tod)(man)}
furloughed	{(furlough)}
czech	{(czech)}
tripping	{(trip)}
hearteningly	{(heart)}>en>>ly>
hobbes	{(hobbes)}
bias	{(bias)}
restricts	{<re<(strict)}
enduring	{(endure)}
sermons	{(sermon)}
jade	{(jade)}
enfolds	<en<{(fold)}
medlar	{(medlar)}
brain	{(brain)}
gyration	{(gyrate)}>ion>
sonar	{(sono)>ar>}
hairs	{(hair)}
primarily	{(prim)}>ory>>ly>
propagators	{(propag)>ate>}>or>
longingly	{(long)}>ly>
hostelry	{(hostel)}>ory>
heartache	{(heart)}{(ache)}
welcomes	{(welcome)}
acknowledging	{<a<(know)(ledge)}
augusta's	{(augusta)}
participating	{(participate)}
legginess	{(leg)}>y>>ness>
crosswise	{(cross)}>wise>
clops	{(clop)}
deviation	{(devi)>ate>}>ion>
chips	{(chip)}
disengagement	<dis<{(engage)}>ment>
gradient	{(gradient)}
copied	{(copy)}
ancient	{(ancient)}
murderousness	{(murder)}>ious>>ness>
unrepentant	<un<{(repent)}>ant>
counterattractions	(counter){(attract)}>ion>
poky	{(poke)}>y>
farcical	{(farce)}>ic>>al>
islamic	{(islam)}>ic>
causes	{(cause)}
suited	{(suit)}
fevered	{(fever)}
familiarize	{(family)}>ar>>ize>
fountainhead	{(fountain)}{(head)}
scrumcaps	{(scrum)}{(cap)}
cobwebs	{(cob)(web)}
impractically	<im<{(pract)>ic>>al>}>ly>
humps	{(hump)}
burble	{(burble)}
bedposts	{(bed)}{(post)}
spanners	{(spanner)}
roustabout	{(roustabout)}
unmentionables	<un<{(mention)}>able>
basics	{(base)}>ic>
wyatt	{(wyatt)}
upstate	<up<{(state)}
fiance	{(fiance)}
conglomerate	{<co<(glomer)>ate>}
burgomasters	{(burgomaster)}
risked	{(risk)}
sow	{(sow)}
nationalcar	{(nation)}>al>{(car)}
electricians	{(electr)>ic>}>ian>
mutably	{(mutable)}>y>
tinged	{(tinge)}
homebuilding	{(home)}{(build)}
fans	{(fan)}
overage	<over<{(age)}
constructively	{<co<(struct)}>ive>>ly>
skirmished	{(skirmish)}
grimm	{(grimm)}
irritable	{(irrit)>able>}
umlauts	{(umlaut)}
risottos	{(risotto)}
artificially	{(artifice)>al>}>ly>
oligarchies	{(olig)(arch)>y>}
vice	{(vice)}
blocking	{(block)}
cannier	{(canny)}>er>
disband	<dis<{(band)}
meanies	{(mean)}>y>
breakin	{(break)}{(in)}
movie	{(move)}>y>
pouncing	{(pounce)}
songstresses	{(song)}(stress)
conquerors	{(conquer)}>or>
coning	{(cone)}
domesticate	{(domestic)}>ate>
representatives	{(represent)}>ive>
kimball	{(kimball)}
boons	{(boon)}
ploys	{(ploy)}
suspension	{(suspense)}>ion>
pacer	{(pace)}>er>
abide	{(abide)}
bankrupted	{(bank)(rupt)}
tenaciously	{(ten)>ious>}>ly>
merging	{(merge)}
lazily	{(lazy)}>ly>
informally	<im<{(formal)}>ly>
manors	{(manor)}
compressibility	{<co<(press)}>able>>ity>
pornsen	{(pornsen)}
revivalists	{<re<(vive)}>al>>ist>
gunge	{(gunge)}
effendi	{(effendi)}
creosotes	{(creosote)}
furtiveness	{(furtive)}>ness>
convened	{<co<(vene)}
influences	{<in<(flu)>ance>}
stevedore	{(stevedore)}
script	{(script)}
sharply	{(sharp)}>ly>
dodged	{(dodge)}
infests	{(infest)}
batteries	{(batterie)}
sonorities	{(sonority)}
pupal	{(pup)>a>}>al>
obscurant	{(obscure)}>ant>
emotively	{(emote)}>ive>>ly>
lech	{(lech)}
homophones	{(homo)(phon)}
meats	{(meat)}
thieving	{(thieve)}
comradeship	{(comrade)}>ship>
chinking	{(chink)}
critique	{(critic)}
indisposed	<im<{<dis<(pose)}
hooch	{(hooch)}
degenerative	{<de<(gener)>ate>}>ive>
pertinently	{(pertain)>ant>}>ly>
clicks	{(click)}
landowners	{(land)}{(own)}>er>
mannishness	{(mann)}>ish>>ness>
static	{(stat)>ic>}
appetizingly	{(appetize)}>ly>
evaporated	{<e<(vapor)>ate>}
confessionals	{(confess)}>ion>>al>
hurt	{(hurt)}
rethinks	<re<{(think)}
glory	{(glory)}
privily	{(privy)}>ly>
gang	{(gang)}
sternum	{(sternum)}
incongruously	<im<{(congru)>ious>}>ly>
damascus	{(damascus)}
whom	{(whom)}
hated	{(hate)}
suspended	{<sus<(pend)}
waxy	{(wax)}>y>
hump	{(hump)}
collectible	{(collect)}>able>
uranium	{(uranium)}
howl	{(howl)}
naivety	{(naive)}>ity>
subserve	<sub<{(serve)}
palate	{(palat)}
clam	{(clam)}
republics	{(republic)}
dutton	{(dutton)}
amigo	{(amigo)}
empire	{(empire)}
obstructiveness	{(obstruct)}>ive>>ness>
distracts	{<dis<(tract)}
signorinas	{(signor)>ina>}
venture	{(venture)}
drachm	{(drachm)}
invoicing	{(invoice)}
pouched	{(pouch)}
burton	{(burton)}
indecision	<im<{(decide)}>ion>
berlin	{(berlin)}
bulled	{(bull)}
drabness	{(drab)}>ness>
bays	{(bay)}
undercover	<under<{(cover)}
paternalism	{(pater)>al>}>ism>
respites	{(respite)}
cheekbone	{(cheek)}{(bone)}
calves	{(calf)}
ketches	{(ketch)}
gaunter	{(gaunt)}>er>
counterproposal	(counter){<pro<(pose)}>al>
flaunt	{(flaunt)}
predestinated	<pre<{(destine)}>ate>
participles	{(participle)}
extirpate	{(extirpate)}
dosed	{(dose)}
impelled	{(impel)}
speedwells	{(speedwell)}
jollily	{(jolly)}>ly>
consisting	{<co<(sist)}
subordinates	{<sub<(ordin)>ate>}
purchasable	{(purchase)}>able>
calibrations	{(calibrate)}>ion>
tots	{(tot)}
grooved	{(groove)}
exploiters	{(exploit)}>er>
scabies	{(scabies)}
tempestuous	{(tempest)}>ious>
rubberizes	{(rub)}>er>>ize>
moraines	{(moraine)}
howell	{(howell)}
choreographer	{(choreo)(graph)>er>}
floorwalker	{(floor)}{(walk)}>er>
reposing	{<re<(pose)}
golfer	{(golf)}>er>
societies	{(socio)>ity>}
fanning	{(fan)}
shrank	{(shrank)}
mosaics	{(mosaic)}
enlivens	<en<{(live)}>en>
homicide	{(hom)(cide)}
supposition	{<su<(pose)}>ion>
flints	{(flint)}
metalling	{(metal)}
mummified	{(mummy)}>ify>
procurers	{(procure)}>er>
clustering	{(cluster)}
doubting	{(doubt)}
clod	{(clod)}
mannequins	{(mannequin)}
foreclosure	<fore<{(close)}>ure>
rayed	{(ray)}
resistors	{<re<(sist)}>or>
splashy	{(splash)}>y>
descendant	{(descend)}>ant>
subdivision	<sub<{(divide)}>ion>
mayors	{(mayor)}
churchyard	{(church)}{(yard)}
homoeopathy	{(homeo)(patho)>y>}
dandruff	{(dandruff)}
lawyer's	{(law)>er>}
civility	{(civil)}>ity>
roomy	{(room)}>y>
decimalize	{(decim)>al>}>ize>
boycotts	{(boycott)}
mousier	{(mouse)}>y>>er>
inheriting	{<in<(herit)}
tensely	{(tense)}>ly>
cardiograms	{(cardio)(gram)}
objectives	{<ob<(ject)}>ive>
clew	{(clew)}
barnes	{(barnes)}
atrophied	{(atrophy)}
tenderized	{(tender)}>ize>
caribou	{(caribou)}
opinion	{(opinion)}
bert	{(bert)}
mange	{(mange)}
musical	{(music)}>al>
gun	{(gun)}
raceway	{(race)}{(way)}
gerald	{(gerald)}
ceramic	{(ceramic)}
chapped	{(chap)}
crispy	{(crisp)}>y>
platitude	{(platitude)}
skirt	{(skirt)}
chicly	{(chic)}>ly>
starve	{(starve)}
toes	{(toe)}
radioisotope	(radio){(iso)(tope)}
conjurers	{<co<(jur)}>er>
ammeter	{(ammeter)}
guavas	{(guava)}
manometers	{(manometer)}
overcapitalized	<over<{(capit)>al>}>ize>
barns	{(barn)}
ascendancy	{(ascend)}>ance>>y>
interring	{(inter)}
extremism	{(extreme)}>ism>
diversities	{(diverse)}>ity>
maidens	{(maid)>en>}
dottiest	{(dot)}>y>>est>
heightening	{(height)}>en>
homogenize	{(homo)(gen)>ize>}
skunk	{(skunk)}
sweeten	{(sweet)}>en>
saunders	{(saunders)}
countian	{(count)}{(ian)}
swaggering	{(swagger)}
phillips	{(phillips)}
grievances	{(grieve)}>ance>
radioactive	(radio){(act)}>ive>
protestants	{(protest)}>ant>
sickened	{(sick)}>en>
imaginatively	{(imagine)}>ate>>ive>>ly>
aerator	{(aero)>ate>}>or>
crumbling	{(crumble)}
aides	{(aide)}
signet	{(signet)}
stereotyped	{(stereo)(typo)}
mustachio	{(mustachio)}
milestones	{(mile)}{(stone)}
delicate	{(delic)>ate>}
railleries	{(rail)}>ory>
eutectic	{(eutectic)}
hooking	{(hook)}
pact	{(pact)}
elate	{(elate)}
semicolons	<semi<{(colon)}
queen	{(queen)}
nightline	{(night)}{(line)}
excite	{(excite)}
swelter	{(swelter)}
openly	{(open)}>ly>
skinhead	{(skin)}{(head)}
bermudan	{(bermuda)}>n>
extended	{<ex<(tend)}
refitted	<re<{(fit)}
hero	{(hero)}
bicentennials	<bi<{<centi<(ann)>al>}
exhumation	{<ex<(hume)}>ion>
corroborate	{(corroborate)}
horticulturists	{(horti)(culture)}>ist>
tex	{(tex)}
charier	{(chary)}>er>
aroused	{(arouse)}
ceramics	{(ceramics)}
cerebrally	{(cerebral)}>ly>
kayo	{(kayo)}
untidy	<un<{(tidy)}
laden	{(laden)}
lilacs	{(lilac)}
subdivided	<sub<{(divide)}
rating	{(rate)}
appetites	{(appetite)}
yielding	{(yield)}
factory	{(fact)>ory>}
demagnetization	<de<{(magnet)}>ize>>ion>
sundry	{(sundry)}
epidermis	{<epi<(derm)>sis>}
clots	{(clot)}
phalaropes	{(phalarope)}
masking	{(mask)}
disencumbers	<dis<{<en<(cumber)}
scenting	{(scent)}
ulcerated	{(ulcer)}>ate>
communes	{(commune)}
abeyant	{(abeyant)}
ospreys	{(osprey)}
heywood	{(heywood)}
angels	{(angel)}
sojourner	{<so<(journ)}>er>
maggie	{(maggie)}
cripples	{(cripple)}
marksman	{(mark)}(man)
cops	{(cop)}
rejuvenation	{<re<(juven)>ate>}>ion>
reprimands	{(reprimand)}
carcinogen	{(carcino)(gen)}
yearling	{(year)>ling>}
syllabifies	{(syllab)>ify>}
seethe	{(seethe)}
dialling	{(dial)}
goldfinches	{(gold)}{(finch)}
defects	{<de<(fect)}
rigorous	{(rigor)}>ious>
raviolis	{(ravioli)}
distillery	{(distill)}>ory>
potpourri	{(pot)(pourri)}
incentives	{(incentive)}
caretaker	{(care)}{(take)}>er>
lineage	{(lineage)}
ravaged	{(ravage)}
steamrollered	{(steam)}{(roll)}>er>
indictable	{(indict)}>able>
smart	{(smart)}
traversing	{<trans<(verse)}
bluefish	{(blue)}{(fish)}
snogs	{(snog)}
workouts	{(work)}{(out)}
herbalists	{(herb)}>al>>ist>
dawning	{(dawn)}
redistribute	<re<{<dis<(tribute)}
escalate	{(escalate)}
chautauqua	{(chautauqua)}
embodies	<en<{(body)}
sanctity	{(sanct)>ity>}
chadwick	{(chad)(wick)}
patriarchs	{(pater)(arch)}
scientology	{(sci)>ant>(log)>y>}
traverse	{<trans<(verse)}
reclines	{<re<(cline)}
liftboys	{(lift)}{(boy)}
bunch	{(bunch)}
hovercrafts	{(hover)}{(craft)}
ranged	{(range)}
aliens	{(alien)}
wigging	{(wig)}
banteringly	{(banter)}>ly>
brand	{(brand)}
waterside	{(water)}{(side)}
truculent	{(trucul)>ant>}
scary	{(scare)}>y>
infancy	{(infancy)}
wielders	{(wield)}>er>
womanish	{(woman)}>ish>
pebbledash	{(pebble)}{(dash)}
breezed	{(breeze)}
recondite	{(recondite)}
diddled	{(diddle)}
process	{<pro<(cess)}
exhibitionists	{<ex<(hibit)}>ion>>ist>
flagellation	{(flagellate)}>ion>
efficacities	{(efficac)>ity>}
presumable	{<pre<(sume)}>able>
furthering	{(further)}
seas	{(sea)}
refugee	{(refuge)}>ee>
poised	{(poise)}
newsstand	{(new)}{(stand)}
billing	{(bill)}
dijon	{(dijon)}
bagatelle	{(bagatelle)}
streamlines	{(stream)}{(line)}
klux	{(klux)}
towed	{(tow)}
carolingian	{(carolingian)}
cranks	{(crank)}
equipment	{(equip)}>ment>
baldest	{(bald)}>est>
inhabitation	{<in<(habit)}>ion>
credulousness	{(cred)>ous>}>ness>
red's	{(red)}
commandment	{(command)}>ment>
fungi	{(fung)>i>}
snyder	{(snyder)}
indivisibility	<im<{(divide)}>able>>ity>
lithographic	{(litho)(graph)>ic>}
substructure	<sub<{(struct)>ure>}
overthrowing	<over<{(throw)}
blacklisting	{(black)}{(list)}
effaced	{<e<(face)}
neurological	{(neuro)(log)>ic>}>al>
denoting	{<de<(note)}
fucked	{(fuck)}
steelyards	{(steel)}{(yard)}
centenarian	{<centi<(ann)>ory>>an>}
extemporaneousness	{<ex<(tempor)>ious>}>ness>
stationmasters	{(stat)>ion>}{(master)}
disembroiled	<dis<{<en<(broil)}
kittiwake	{(kittiwake)}
caricatures	{(caricature)}
gorgons	{(gorgon)}
opining	{(opine)}
jitters	{(jitter)}
clangs	{(clang)}
stagnating	{(stagn)>ate>}
administratively	{<a<(minister)>ate>}>ive>>ly>
listener	{(listen)}>er>
refused	{<re<(fuse)}
cerebrating	{(cerebrate)}
monasteries	{(monast)>ory>}
sorties	{(sortie)}
ignites	{(ign)>ite>}
elegiac	{(elegiac)}
rummest	{(rum)}>est>
pickup	{(pick)}{(up)}
dryer	{(dry)}>er>
hairdresser	{(hair)}{(dress)}>er>
trademark	{(trade)}{(mark)}
surcharge	{<sur<(charge)}
mender	{(mend)}>er>
tasking	{(task)}
upturns	<up<{(turn)}
blockade	{(block)>ade>}
gumdrops	{(gum)}{(drop)}
cornell	{(cornell)}
dismantle	<dis<{(mantle)}
bindweed	{(bind)}{(weed)}
execution	{(execute)}>ion>
fish	{(fish)}
archways	{(arch)}{(way)}
trotted	{(trot)}
reservations	{(reserve)}>ion>
schemed	{(scheme)}
levelled	{(level)}
suffered	{(suffer)}
crammed	{(cram)}
minestrone	{(minestrone)}
healthiness	{(health)}>y>>ness>
oleg	{(oleg)}
obliterate	{<ob<(litera)>ate>}
minimize	{(minim)>ize>}
foxgloves	{(fox)}{(glove)}
cohesive	{(cohesive)}
militarists	{(militar)>ist>}
encroachment	{(encroach)}>ment>
cheapskate	{(cheap)}{(skate)}
in	{(in)}
remorse	{(remorse)}
arch	{(arch)}
putted	{(putt)}
lathered	{(lather)}
teaming	{(team)}
certify	{(cert)>ify>}
augustly	{(august)}>ly>
harlot	{(harlot)}
hyaline	{(hyaline)}
battenkill	{(batten)}{(kill)}
tortillas	{(tortilla)}
enfeebled	<en<{(feeble)}
cornucopia	{(cornucopia)}
sixty	{(six)>ity>}
entwines	<en<{(twine)}
bathroom	{(bath)}{(room)}
curry	{(curry)}
vending	{(vend)}
healing	{(heal)}
zounds	{(zounds)}
infest	{(infest)}
interleaves	<inter<{(leave)}
aristide	{(aristide)}
supervisions	{<super<(vis)>ion>}
whalers	{(whale)}>er>
binges	{(binge)}
neutralization	{(neutr)>al>}>ize>>ion>
clobbers	{(clobber)}
camellia	{(camellia)}
recreates	<re<{(create)}
squirming	{(squirm)}
fetishists	{(fetish)}>ist>
inconveniently	<im<{(convenient)}>ly>
crosspiece	<cross<{(piece)}
amoeba	{(amoeba)}
ciao	{(ciao)}
designing	{(design)}
remuneration	{<re<(munerate)}>ion>
america	{(america)}
sophism	{(soph)>ism>}
barb	{(barb)}
itinerant	{(itinerant)}
cow	{(cow)}
cowley	{(cowley)}
consciousness	{(conscious)}>ness>
instrumented	{(instrument)}
baste	{(baste)}
subjectivity	{<sub<(ject)}>ive>>ity>
genetics	{(gen)>ics>}
chaffed	{(chaff)}
creativity	{(create)}>ive>>ity>
widegrip	{(wide)}{(grip)}
peatiest	{(peat)}>y>>est>
decapitate	{<de<(capit)>ate>}
naturism	{(nature)}>ism>
executrix	{(executrix)}
pastry	{(pastry)}
bleedings	{(bleed)}
vaughn	{(vaughn)}
invader	{(invade)}>er>
mesmerists	{(mesmer)>ist>}
parkhouse	{(park)}{(house)}
instinctively	{(instinct)}>ive>>ly>
befuddles	<be<{(fuddle)}
bedew	<be<{(dew)}
botched	{(botch)}
goalie	{(goal)}>y>
serviceableness	{(serve)>ice>}>able>>ness>
secondary	{(secondary)}
coeditors	<co<{(edit)}>or>
entreaties	{<en<(treat)}>y>
scales	{(scale)}
elude	{(elude)}
controversies	{(contra)(versy)}
suckling	{(suckle)}
normalizations	{(norm)>al>}>ize>>ion>
marvelously	{(marvel)}>ious>>ly>
gardner's	{(gardner)}
thins	{(thin)}
jam	{(jam)}
playgroup	{(play)}{(group)}
annex	{(annex)}
grammarians	{(grammar)}>ian>
noncommissioned	<non<{<co<(miss)>ion>}
discourteously	<dis<{(courteous)}>ly>
unlovely	<un<{(love)}>ly>
senoras	{(senora)}
towline	{(tow)}{(line)}
slithery	{(slither)}>y>
inauspicious	<im<{(auspice)}>ious>
nevertheless	{(never)}{(theo)}{(less)}
multiply	{<multi<(ply)}
concessive	{<co<(cess)>ive>}
disregards	<dis<{(regard)}
dormitories	{(dorm)>ory>}
lids	{(lid)}
latter	{(latter)}
enticed	{(entice)}
oxidize	{(oxide)}>ize>
emaciates	{(emaciate)}
repressed	{<re<(press)}
blitzed	{(blitz)}
destroyed	{(destroy)}
yogis	{(yogi)}
spaded	{(spade)}
pulps	{(pulp)}
solemnly	{(solemn)}>ly>
saucepan	{(sauce)}{(pan)}
truthful	{(truth)}>ful>
backtracks	<back<{(track)}
jigs	{(jig)}
consummations	{(consummate)}>ion>
mayflower	{(may)}{(flower)}
bankrupting	{(bank)(rupt)}
denouncing	{(denounce)}
don't	{(do)}
disheveled	{(dishevel)}
depressed	{<de<(press)}
ripping	{(rip)}
vic	{(vic)}
clothesline	{(cloth)}{(line)}
entombments	<en<{(tomb)}>ment>
jeeringly	{(jeer)}>ly>
offstage	<off<{(stage)}
preacher	{(preach)}>er>
moored	{(moor)}
piss	{(piss)}
hyperbola	{<hyper<(bol)>a>}
nationalization	{(nation)}>al>>ize>>ion>
demotic	{(demotic)}
skinnier	{(skin)}>y>>er>
knesset	{(knesset)}
metronome	{(metronome)}
muscatel	{(muscatel)}
smiled	{(smile)}
draggle	{(draggle)}
chapter	{(chapter)}
unearned	<un<{(earn)}
scotty	{(scotty)}
violin	{(violin)}
sweaters	{(sweat)}>er>
bespectacled	<be<{(spect)>acle>}
expired	{(expire)}
balinese	{(bali)}>ese>
unsightliness	<un<{(sight)}>ly>>ness>
lowers	{(low)>er>}
moonstone	{(moon)}{(stone)}
smoochy	{(smooch)}>y>
atishoo	{(atishoo)}
zoned	{(zone)}
eyeglasses	{(eye)}{(glass)}
fructifies	{(fruit)>ify>}
roodscreen	{(rood)}{(screen)}
thyroid	{(thyroid)}
aspires	{<a<(spir)}
elasticities	{(elastic)}>ity>
semivowel	<semi<{(vowel)}
standardizations	{(standard)}>ize>>ion>
lynches	{(lynch)}
lockstitch	{(lock)}{(stitch)}
cellarage	{(cellar)}>age>
disbands	<dis<{(band)}
talk	{(talk)}
prognostics	{<pro<(gnose)>tics>}
chile	{(chile)}
gentility	{(gentle)}>ity>
prickled	{(prickle)}
huey	{(huey)}
kiddy	{(kidd)}>y>
neurology	{(neuro)(log)>y>}
adherent	{<ad<(_here)}>ant>
when	{(when)}
incredulity	<im<{(credulity)}
adjudges	{<a<(judge)}
prisms	{(prism)}
finicky	{(finicky)}
fuddled	{(fuddle)}
ammunition	{(ammunition)}
botanizes	{(botan)>ize>}
outside	<out<{(side)}
countersank	(counter){(sank)}
bridge	{(bridge)}
esperanto	{(esperanto)}
workpiece	{(work)}{(piece)}
recapping	<re<{(cap)}
disengages	<dis<{(engage)}
complied	{(comply)}
joggle	{(joggle)}
thefts	{(theft)}
voles	{(vole)}
missed	{(miss)}
gibbeted	{(gibbet)}
awash	{(awash)}
beach	{(beach)}
shareholder	{(share)}{(hold)}>er>
condescend	{(condescend)}
longevity	{(long)>ity>}
puttin	{(put)}{(tin)}
acknowledged	{<a<(know)(ledge)}
plough	{(plough)}
winks	{(wink)}
soupcon	{(soupcon)}
imperiled	<in<{(peril)}
mutating	{(mutate)}
slumped	{(slump)}
filibustered	{(filibuster)}
contacting	{(contact)}
applique	{(applique)}
staplers	{(staple)}>er>
autocratically	{<auto<(crat)}>ic>>ly>
clannishness	{(clan)}>ish>>ness>
snowman	{(snow)}{(man)}
courthouses	{(court)}{(house)}
levin	{(levin)}
demilitarizes	<de<{(militar)>ize>}
repaints	<re<{(paint)}
conjunctiva	{(conjunctiva)}
copybook	{(copy)}{(book)}
dynamiting	{(dynamite)}
squealed	{(squeal)}
togetherness	{(together)}>ness>
avatars	{(avatar)}
romanian	{(romania)}>n>
echo	{(echo)}
supposedly	{<su<(pose)}>ly>
waives	{(waive)}
envy	{(envy)}
groveling	{(grovel)}
internal	{<in<(tern)>al>}
fraternization	{(fratern)>ize>}>ion>
crimping	{(crimp)}
direful	{(dire)}>ful>
manx	{(manx)}
relentlessly	{(relent)}>less>>ly>
thoughts	{(thought)}
grouch	{(grouch)}
perennially	{<per<(ann)>al>}>y>
hen's	{(hen)}
oakland	{(oakland)}
skates	{(skate)}
riffraff	{(riffraff)}
vouchsafes	{(vouch)}{(safe)}
inaccessibly	<im<{(access)}>able>>y>
dicks	{(dick)}
houris	{(houri)}
indoctrinated	<in<{(doctrine)}>ate>
shakedowns	{(shake)}{(down)}
vineyards	{(vine)(yard)}
fernberger	{(fern)}{(berger)}
twitterer	{(twitter)}>er>
retied	<re<{(tie)}
paternalistic	{(pater)>al>}>ist>>ic>
snappers	{(snap)}>er>
countersign	(counter){(sign)}
portraying	{(portray)}
dribble	{(dribble)}
barnstorming	{(barn)}{(storm)}
zircon	{(zircon)}
virus	{(vir)>us>}
codpieces	{(cod)}{(piece)}
youthfulness	{(youth)}>ful>>ness>
transducers	{<trans<(duct)>er>}
rowed	{(row)}
unionized	{(un)}>ion>>ize>
carrara	{(carrara)}
that'll	{(that)}
augury	{(augur)}>y>
eurasia	{(euro)>asia>}
vacuous	{(vacu)>ious>}
reasonableness	{(reason)}>able>>ness>
angel	{(angel)}
luges	{(luge)}
debags	<de<{(bag)}
cliched	{(cliche)}
aurally	{(aural)}>ly>
mistrusts	<mis<{(trust)}
offsetting	<off<{(set)}
shaggier	{(shag)}>y>>er>
alphonse	{(alphonse)}
counteract	(counter){(act)}
swordplay	{(sword)}{(play)}
stoppings	{(stop)}
woodgraining	{(wood)}{(grain)}
swaths	{(swath)}
shrike	{(shrike)}
newsstands	{(new)}{(stand)}
vixen	{(vixen)}
respond	{(respond)}
elapsed	{(elapse)}
swallows	{(swallow)}
printout	{(print)}{(out)}
rondo	{(rondo)}
carat	{(carat)}
sauciness	{(sauce)}>y>>ness>
tales	{(tale)}
fanfare	{(fanfare)}
radiolocation	(radio){(locate)}>ion>
reich	{(reich)}
belvidere	{(belvidere)}
spoliation	{(spoil)}>ion>
rescues	{(rescue)}
anesthetic	{<a<<es<(thet)>ic>}
coshing	{(cosh)}
larynxes	{(larynx)}
bulky	{(bulk)}>y>
oubliette	{(oubliette)}
sealskins	{(seal)}{(skin)}
trier	{(try)}>er>
discreditably	<dis<{(credit)}>able>>y>
convoke	{(convoke)}
pabulum	{(pabulum)}
divinities	{(divine)}>ity>
